Citation,Location,name,point,latitude,longitude,altitude
"Abhishek A, Doherty M, Kuo C-F, Mallen CD, Zhang W, Grainge MJ. Rheumatoid arthritis is getting less frequent-results of a nationwide population-based cohort study. Rheumatology (Oxford). 2017; 56(5): 73644",Scotland,"Alba / Scotland, United Kingdom","(56.7861112, -4.1140518, 0.0)",56.7861112,-4.1140518,0.0
"Abhishek A, Doherty M, Kuo C-F, Mallen CD, Zhang W, Grainge MJ. Rheumatoid arthritis is getting less frequent-results of a nationwide population-based cohort study. Rheumatology (Oxford). 2017; 56(5): 73644",Wales,"Cymru / Wales, United Kingdom","(52.2928116, -3.73893, 0.0)",52.2928116,-3.73893,0.0
"Abhishek A, Doherty M, Kuo C-F, Mallen CD, Zhang W, Grainge MJ. Rheumatoid arthritis is getting less frequent-results of a nationwide population-based cohort study. Rheumatology (Oxford). 2017; 56(5): 73644",England,"England, United Kingdom","(52.5310214, -1.2649062, 0.0)",52.5310214,-1.2649062,0.0
"Kumar P, Alok R, Das SK, Srivastava R, Agarwal GG. Distribution of rheumatological diseases in rural and urban areas: An adapted COPCORD Stage I Phase III survey of Lucknow district in north India. Int J Rheum Dis. 2018; 21(11): 1894-1899","Uttar Pradesh, Urban","Urban Health Centre, Khadra, Sitapur Road, Khadra, Lucknow, Uttar Pradesh, 226020, India","(26.8740667, 80.916903, 0.0)",26.8740667,80.916903,0.0
"Kumar P, Alok R, Das SK, Srivastava R, Agarwal GG. Distribution of rheumatological diseases in rural and urban areas: An adapted COPCORD Stage I Phase III survey of Lucknow district in north India. Int J Rheum Dis. 2018; 21(11): 1894-1899","Uttar Pradesh, Rural","UP Rural Institute Of Medical Sciences and Research, SH83, Mainpuri, Etawah, Uttar Pradesh, 206301, India","(26.9607485, 78.960894, 0.0)",26.9607485,78.960894,0.0
"Truven Health Analytics. United States MarketScan Claims and Medicare Data 2016. Ann Arbor, United States of America: Truven Health Analytics",Alabama,"Alabama, United States","(33.2588817, -86.8295337, 0.0)",33.2588817,-86.8295337,0.0
"Truven Health Analytics. United States MarketScan Claims and Medicare Data 2017. Ann Arbor, United States of America: Truven Health Analytics",Alabama,"Alabama, United States","(33.2588817, -86.8295337, 0.0)",33.2588817,-86.8295337,0.0
"Truven Health Analytics. United States MarketScan Claims and Medicare Data 2016. Ann Arbor, United States of America: Truven Health Analytics",Alaska,"Alaska, United States","(64.4459613, -149.680909, 0.0)",64.4459613,-149.680909,0.0
"Truven Health Analytics. United States MarketScan Claims and Medicare Data 2017. Ann Arbor, United States of America: Truven Health Analytics",Alaska,"Alaska, United States","(64.4459613, -149.680909, 0.0)",64.4459613,-149.680909,0.0
"Truven Health Analytics. United States MarketScan Claims and Medicare Data 2016. Ann Arbor, United States of America: Truven Health Analytics",Arizona,"Arizona, United States","(34.395342, -111.763275, 0.0)",34.395342,-111.763275,0.0
